Date,Time UTC+1,Model,Asset,Forecast,Last Input Price,AR Alpha,Rolling Hit-Rate,SD,MAD,ACD
"2016-07-06","00:45:11","MA","EUR/JPY","UP","114.28","n.a.","62.5","0.6279","0.4365","0.0199"
"2016-07-06","00:45:13","MA","XAU/USD","UP","1348.75","n.a.","60.6","8.5705","6.468","1.6878"
"2016-07-06","00:45:14","MA","XAG/USD","UP","20.2747","n.a.","58.7","0.1674","0.1229","0.1457"
"2016-07-06","00:45:16","MA","XPD/USD","UP","613.605","n.a.","43.8","10.8121","5.5553","0.3409"
"2016-07-06","00:45:17","MA","XPT/USD","UP","1063.08","n.a.","39.9","12.624","7.3045","0.0952"
"2016-07-06","00:45:19","ARMA","EUR/USD","DOWN","1.1137","n.a.","64.9","0.0049","0.0036","-1e-04"
"2016-07-06","00:45:21","ARMA","USD/JPY","UP","102.61","n.a.","60.1","0.5536","0.3985","0.0482"
"2016-07-06","00:45:24","ARMA","GBP/USD","UP","1.3284","n.a.","60.1","0.0084","0.005","3e-04"
"2016-07-06","00:45:26","ARMA","USD/CHF","UP","0.973","n.a.","63.5","0.004","0.0029","0"
"2016-07-06","00:45:28","ARMA","AUD/USD","UP","0.7511","n.a.","51.9","0.004","0.0031","2e-04"
"2016-07-06","00:45:29","ARMA","USD/CAD","DOWN","1.2877","n.a.","51.9","0.006","0.0043","-8e-04"
"2016-07-06","00:45:31","ARMA","EUR/CHF","DOWN","1.0837","n.a.","54.8","0.0024","0.0018","-1e-04"
"2016-07-06","00:45:33","ARMA","EUR/GBP","DOWN","0.8384","n.a.","56.7","0.004","0.0027","-3e-04"
"2016-07-06","00:45:35","ARMA","NZD/USD","UP","0.7201","n.a.","56.7","0.0043","0.0033","7e-04"
"2016-07-06","00:45:37","ARMA","EUR/SEK","DOWN","9.3984","n.a.","57.2","0.0243","0.0182","-0.0014"
"2016-07-06","00:45:39","ARMA","EUR/NOK","DOWN","9.2667","n.a.","53.4","0.0375","0.0279","-0.0098"
"2016-07-06","00:45:41","ARMA","USD/SEK","UP","8.4389","n.a.","63","0.0401","0.0284","0.001"
"2016-07-06","00:45:43","ARMA","USD/NOK","DOWN","8.3206","n.a.","60.6","0.0441","0.0322","-0.0057"
"2016-07-06","00:45:46","ARMA","EUR/JPY","UP","114.28","n.a.","60.6","0.6279","0.4365","0.0227"
"2016-07-06","00:45:49","ARMA","XAU/USD","UP","1348.75","n.a.","58.7","8.5705","6.468","1.8278"
"2016-07-06","00:45:53","ARMA","XAG/USD","UP","20.2747","n.a.","55.3","0.1674","0.1229","0.182"
"2016-07-06","00:45:55","ARMA","XPD/USD","UP","613.605","n.a.","55.3","10.8121","5.5553","0.3591"
"2016-07-06","00:45:57","ARMA","XPT/USD","UP","1063.08","n.a.","55.3","12.624","7.3045","0.2527"
"2016-07-06","00:56:50","AR","EUR/USD","DOWN","1.1137","0.34","64.4","0.0049","0.0036","-3e-04"
"2016-07-06","00:56:53","AR","USD/JPY","UP","102.61","0.37","59.1","0.5536","0.3985","0.0284"
"2016-07-06","00:56:56","AR","GBP/USD","UP","1.3284","0.23","60.1","0.0084","0.005","0.0012"
"2016-07-06","00:56:59","AR","USD/CHF","DOWN","0.973","0.46","63","0.004","0.0029","-1e-04"
"2016-07-06","00:57:02","AR","AUD/USD","UP","0.7511","0.21","52.4","0.004","0.0031","2e-04"
"2016-07-06","00:57:04","AR","USD/CAD","DOWN","1.2877","0.28","56.7","0.006","0.0043","-0.0011"
"2016-07-06","00:57:07","AR","EUR/CHF","DOWN","1.0837","0.21","51.9","0.0024","0.0018","-1e-04"
"2016-07-06","00:57:10","AR","EUR/GBP","DOWN","0.8384","0.34","56.2","0.004","0.0027","-9e-04"
"2016-07-06","00:57:13","AR","NZD/USD","UP","0.7201","0.18","54.8","0.0043","0.0033","3e-04"
"2016-07-06","00:57:15","AR","EUR/SEK","DOWN","9.3984","0.37","57.7","0.0243","0.0182","-8e-04"
"2016-07-06","00:57:18","AR","EUR/NOK","DOWN","9.2667","0.32","53.8","0.0375","0.0279","-0.0098"
"2016-07-06","00:57:21","AR","USD/SEK","UP","8.4389","0.26","56.7","0.0401","0.0284","0.0035"
"2016-07-06","00:57:24","AR","USD/NOK","DOWN","8.3206","0.26","60.1","0.0441","0.0322","-0.0042"
"2016-07-06","00:57:27","AR","EUR/JPY","UP","114.28","0.28","62","0.6279","0.4365","7e-04"
"2016-07-06","00:57:30","AR","XAU/USD","UP","1348.75","0.28","58.7","8.5705","6.468","1.3259"
"2016-07-06","00:57:33","AR","XAG/USD","UP","20.2747","0.42","57.7","0.1674","0.1229","0.2064"
"2016-07-06","00:57:35","AR","XPD/USD","UP","613.605","0.05","46.6","10.8121","5.5553","1.6106"
"2016-07-06","00:57:38","AR","XPT/USD","UP","1063.08","0.05","40.9","12.624","7.3045","2.0121"
"2016-07-06","00:57:39","MA","EUR/USD","DOWN","1.1137","n.a.","67.3","0.0049","0.0036","-2e-04"
"2016-07-06","00:57:41","MA","USD/JPY","UP","102.61","n.a.","63.5","0.5536","0.3985","0.0517"
"2016-07-06","00:57:43","MA","GBP/USD","UP","1.3284","n.a.","63.5","0.0084","0.005","4e-04"
"2016-07-06","00:57:44","MA","USD/CHF","UP","0.973","n.a.","64.4","0.004","0.0029","0"
"2016-07-06","00:57:46","MA","AUD/USD","UP","0.7511","n.a.","53.4","0.004","0.0031","2e-04"
"2016-07-06","00:57:47","MA","USD/CAD","DOWN","1.2877","n.a.","58.7","0.006","0.0043","-8e-04"
"2016-07-06","00:57:49","MA","EUR/CHF","DOWN","1.0837","n.a.","57.2","0.0024","0.0018","-2e-04"
"2016-07-06","00:57:50","MA","EUR/GBP","DOWN","0.8384","n.a.","56.7","0.004","0.0027","-4e-04"
"2016-07-06","00:57:52","MA","NZD/USD","UP","0.7201","n.a.","56.7","0.0043","0.0033","6e-04"
"2016-07-06","00:57:54","MA","EUR/SEK","DOWN","9.3984","n.a.","56.7","0.0243","0.0182","-7e-04"
"2016-07-06","00:57:55","MA","EUR/NOK","DOWN","9.2667","n.a.","53.4","0.0375","0.0279","-0.0098"
"2016-07-06","00:57:57","MA","USD/SEK","UP","8.4389","n.a.","63.9","0.0401","0.0284","0.0014"
"2016-07-06","00:57:58","MA","USD/NOK","DOWN","8.3206","n.a.","60.1","0.0441","0.0322","-0.0054"
"2016-07-06","00:58:00","MA","EUR/JPY","UP","114.28","n.a.","62.5","0.6279","0.4365","0.0199"
"2016-07-06","00:58:01","MA","XAU/USD","UP","1348.75","n.a.","60.6","8.5705","6.468","1.6878"
"2016-07-06","00:58:03","MA","XAG/USD","UP","20.2747","n.a.","58.7","0.1674","0.1229","0.1457"
"2016-07-06","00:58:05","MA","XPD/USD","UP","613.605","n.a.","43.8","10.8121","5.5553","0.3409"
"2016-07-06","00:58:06","MA","XPT/USD","UP","1063.08","n.a.","39.9","12.624","7.3045","0.0952"
"2016-07-06","00:58:08","ARMA","EUR/USD","DOWN","1.1137","n.a.","64.9","0.0049","0.0036","-1e-04"
"2016-07-06","00:58:10","ARMA","USD/JPY","UP","102.61","n.a.","60.1","0.5536","0.3985","0.0482"
"2016-07-06","00:58:12","ARMA","GBP/USD","UP","1.3284","n.a.","60.1","0.0084","0.005","3e-04"
"2016-07-06","00:58:14","ARMA","USD/CHF","UP","0.973","n.a.","63.5","0.004","0.0029","0"
"2016-07-06","00:58:17","ARMA","AUD/USD","UP","0.7511","n.a.","51.9","0.004","0.0031","2e-04"
"2016-07-06","00:58:18","ARMA","USD/CAD","DOWN","1.2877","n.a.","51.9","0.006","0.0043","-8e-04"
"2016-07-06","00:58:20","ARMA","EUR/CHF","DOWN","1.0837","n.a.","54.8","0.0024","0.0018","-1e-04"
"2016-07-06","00:58:22","ARMA","EUR/GBP","DOWN","0.8384","n.a.","56.7","0.004","0.0027","-3e-04"
